Sr No,Group No,Process Name,Tenant,Folder,MON,TUE,WED,THU,FRI,SAT,SUN,Execution Time From HH,Execution Time From MM,Execution Time From SS,Execution Time To HH,Execution Time To MM,Execution Time To SS,Execution Period HH,Execution Period MM,Execution Period SS,Ideal Time HH,Ideal Time MM,Ideal Time SS,Ideal Time,Execution Time From,Execution Time To
1,,RPA Process A001,Default,GSC,Y,Y,Y,Y,Y,,,17,0,0,17,4,0,0,3,1,,,,,,
2,,RPA Process A002,Default,GSC,Y,Y,Y,Y,Y,,,17,15,0,17,23,0,0,7,28,,,,,,
3,,RPA Process A003,Default,GSC,Y,,,,,,,12,5,0,12,7,0,0,1,34,,,,,,
4,,RPA Process A004,Default,GSC,Y,,,Y,,,,12,5,0,12,9,0,0,3,16,,,,,,
5,,RPA Process A005,Default,GSC,Y,,,Y,,,,12,5,0,12,9,0,0,3,37,,,,,,
6,,RPA Process A006,Default,GSC,Y,,,Y,,,,12,5,0,12,11,0,0,5,32,,,,,,
7,,RPA Process A007,Default,GSC,Y,,,Y,,,,18,5,0,18,7,0,0,1,17,,,,,,
8,,RPA Process A008,Default,GSC,Y,,,Y,,,,18,5,0,18,7,0,0,1,13,,,,,,
9,,RPA Process A009,Default,GSC,Y,,,Y,,,,18,5,0,18,7,0,0,1,19,,,,,,
10,,RPA Process A010,Default,GSC,Y,,,Y,,,,18,5,0,18,6,0,0,0,56,,,,,,
11,,RPA Process A011,Default,GSC,Y,,,Y,,,,12,35,0,12,36,0,0,0,43,,,,,,
12,,RPA Process A012,Default,GSC,Y,,,Y,,,,12,35,0,12,37,0,0,1,6,,,,,,
13,,RPA Process A013,Default,GSC,Y,,,Y,,,,12,35,0,12,36,0,0,0,45,,,,,,
14,,RPA Process A014,Default,GSC,Y,,,Y,,,,12,35,0,12,37,0,0,1,17,,,,,,
15,,RPA Process A015,Default,GSC,Y,,,Y,,,,12,35,0,12,36,0,0,0,53,,,,,,
16,,RPA Process A016,Default,GSC,Y,,,Y,,,,12,35,0,16,28,0,3,52,27,,,,,,
17,,RPA Process A017,Default,GSC,Y,,,Y,,,,12,35,0,12,36,0,0,0,37,,,,,,
18,,RPA Process A018,Default,GSC,Y,,,Y,,,,12,35,0,15,19,0,2,43,40,,,,,,
19,,RPA Process A019,Default,GSC,Y,,,Y,,,,12,35,0,16,36,0,4,0,43,,,,,,
20,,RPA Process A020,Default,GSC,Y,,,Y,,,,12,35,0,12,37,0,0,1,3,,,,,,
21,,RPA Process A021,Default,GSC,Y,,,Y,,,,18,35,0,18,37,0,0,1,11,,,,,,
22,,RPA Process A022,Default,GSC,Y,,,Y,,,,18,35,0,18,57,0,0,21,35,,,,,,
23,,RPA Process A023,Default,GSC,Y,,,Y,,,,18,35,0,18,36,0,0,0,57,,,,,,
24,,RPA Process A024,Default,GSC,Y,Y,Y,Y,Y,Y,Y,8,0,0,8,2,0,0,1,26,,,,,,
25,,RPA Process A025,Default,GSC,Y,Y,Y,Y,Y,,,18,0,0,18,3,0,0,2,22,,,,,,
26,,RPA Process A026,Default,GSC,Y,Y,Y,Y,Y,,,9,30,0,9,57,0,0,26,58,,,,,,
27,,RPA Process A027,Default,GSC,Y,Y,,,,,,13,30,0,13,54,0,0,23,56,,,,,,
28,,RPA Process A028,Default,GSC,Y,,Y,,,,,8,0,0,8,21,0,0,20,22,,,,,,
29,,RPA Process A029,Default,GSC,Y,,,,,,,10,0,0,10,2,0,0,1,0,,,,,,
30,,RPA Process A030,Default,GSC,Y,,,,,,Y,9,30,0,9,44,0,0,13,30,,,,,,
31,,RPA Process A031,Default,GSC,Y,,,,,,,10,0,0,10,14,0,0,13,22,,,,,,
32,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,0,5,0,0,8,0,0,2,6,,,,,,
33,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,2,5,0,2,8,0,0,2,6,,,,,,
34,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,4,5,0,4,8,0,0,2,6,,,,,,
35,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,6,5,0,6,8,0,0,2,6,,,,,,
36,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,8,5,0,8,8,0,0,2,6,,,,,,
37,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,10,5,0,10,8,0,0,2,6,,,,,,
38,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,12,5,0,12,8,0,0,2,6,,,,,,
39,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,14,5,0,14,8,0,0,2,6,,,,,,
40,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,16,5,0,16,8,0,0,2,6,,,,,,
41,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,18,5,0,18,8,0,0,2,6,,,,,,
42,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,20,5,0,20,8,0,0,2,6,,,,,,
43,,RPA Process A032,Default,GSC,Y,Y,Y,Y,Y,Y,Y,22,5,0,22,8,0,0,2,6,,,,,,
44,,RPA Process A033,Default,GSC,Y,Y,Y,Y,Y,Y,Y,23,53,0,23,54,0,0,0,22,,,,,,
45,,RPA Process A034,Default,GSC,Y,Y,Y,Y,Y,Y,Y,23,53,0,23,54,0,0,0,16,,,,,,
46,,RPA Process A035,Default,GSC,Y,,,,,,,23,53,0,23,54,0,0,0,20,,,,,,
47,,RPA Process A036,Default,GSC,Y,Y,Y,Y,Y,,,2,0,0,2,3,0,0,2,50,,,,,,
48,,RPA Process A037,Default,GSC,Y,Y,Y,Y,Y,,,8,30,0,9,4,0,0,33,8,,,,,,
49,,RPA Process A038,Default,GSC,Y,,,,,,Y,12,0,0,12,6,0,0,5,55,,,,,,
50,,RPA Process A039,Default,GSC,Y,,,,,,Y,12,0,0,12,6,0,0,5,21,,,,,,
51,,RPA Process A040,Default,GSC,Y,Y,Y,Y,Y,,,8,15,0,8,45,0,0,29,31,,,,,,
52,,RPA Process A041,Default,GSC,Y,Y,Y,Y,Y,Y,Y,9,30,0,9,36,0,0,5,11,,,,,,
53,,RPA Process A041,Default,GSC,Y,Y,Y,Y,Y,Y,Y,11,30,0,11,36,0,0,5,11,,,,,,
54,,RPA Process A041,Default,GSC,Y,Y,Y,Y,Y,Y,Y,13,30,0,13,36,0,0,5,11,,,,,,
55,,RPA Process A041,Default,GSC,Y,Y,Y,Y,Y,Y,Y,14,30,0,14,36,0,0,5,11,,,,,,
56,,RPA Process A041,Default,GSC,Y,Y,Y,Y,Y,Y,Y,15,30,0,15,36,0,0,5,11,,,,,,
57,,RPA Process A042,Default,GSC,Y,,Y,,,,,10,0,0,10,20,0,0,19,13,,,,,,
58,,RPA Process A043,Default,GSC,Y,Y,Y,Y,Y,,,17,5,0,17,9,0,0,3,55,,,,,,
59,,RPA Process A044,Default,GSC,Y,Y,Y,Y,Y,Y,,13,10,0,13,46,0,0,35,4,,,,,,
60,,RPA Process A045,Default,GSC,Y,Y,Y,Y,Y,Y,,13,0,0,13,2,0,0,1,34,,,,,,
61,,RPA Process A046,Default,GSC,Y,Y,Y,Y,Y,,,9,5,0,9,13,0,0,7,0,,,,,,
62,,RPA Process A047,Default,GSC,Y,Y,Y,Y,Y,,,9,0,0,9,2,0,0,1,17,,,,,,
63,,RPA Process A048,Default,GSC,Y,Y,Y,Y,Y,,,14,0,0,14,3,0,0,2,49,,,,,,
64,,RPA Process A048,Default,GSC,Y,Y,Y,Y,Y,,,16,0,0,16,3,0,0,2,49,,,,,,
65,,RPA Process A049,Default,GSC,Y,,,Y,,,,10,15,0,10,18,0,0,2,17,,,,,,
66,,RPA Process A050,Default,GSC,Y,,,Y,,,,9,30,0,9,32,0,0,1,30,,,,,,
67,,RPA Process A051,Default,GSC,Y,,,,Y,,,19,15,0,19,56,0,0,40,47,,,,,,
68,,RPA Process A052,Default,GSC,Y,,,,Y,,,19,0,0,19,3,0,0,2,9,,,,,,
69,,RPA Process A053,Default,GSC,Y,,,Y,,,,19,15,0,23,59,59,6,33,20,,,,,,
70,,RPA Process A054,Default,GSC,Y,,,Y,,,,19,0,0,19,4,0,0,3,3,,,,,,
71,,RPA Process A055,Default,GSC,Y,Y,Y,Y,Y,,,11,0,0,11,1,0,0,0,35,,,,,,
72,,RPA Process A056,Default,GSC,Y,Y,Y,Y,Y,,,3,0,0,3,3,0,0,2,21,,,,,,
73,,RPA Process A057,Default,GSC,Y,Y,Y,Y,Y,Y,Y,7,45,0,7,47,0,0,1,47,,,,,,
74,,RPA Process A058,Default,GSC,Y,Y,Y,Y,Y,Y,Y,18,0,0,18,2,0,0,1,41,,,,,,
